line,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59,MET60,MET61,MET62,MET63,MET64,MET65,MET66,MET67,MET68,MET69,MET70,MET71,MET72,MET73,MET74,MET75,MET76,MET77,MET78,MET79,MET80,MET81,MET82,MET83,MET84,MET85,MET86,MET87,MET88,MET89,MET90,MET91,MET92,MET93,MET94,MET95,MET96,MET97,MET98,MET99,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET119,MET120,MET121,MET122,MET123,MET124,MET125,MET126,MET127,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET137,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET150,MET151,MET152,MET153,MET154,MET155,MET156,MET157,MET158
HEB_01_001,0.000431022,0.000869039,0.000114265,0.000139433,0.040178905,0.009608387,0.000245986,0.002097002,0.000261218,0.000920185,0.000132463,0.010262536,0.034441785,0.000787377,0.00022593,0.000363673,,0.000488464,4.84164E-05,7.86105E-05,0.005112181,0.001052596,9.31145E-05,0.042616328,0.03202913,0.001408848,0.000996846,3.93489E-05,0.001081396,3.0192E-05,,0.002218076,0.001303086,0.000407,0.255440943,0.063202296,0.255993263,0.031015931,0.005172581,,7.02493E-05,0.000100795,0.105669259,0.003042813,0.001303656,0.000884552,4.15165E-05,0.000696452,4.71266E-05,0.130747462,0.002960045,0.000965744,2.83116E-05,6.31773E-07,0.024411274,,0.009745789,0.000107546,0.001904796,0.002410675,0.00482694,0.16197563,0.000972088,0.049718456,0.000676185,0.005039843,4.97289E-06,0.002730007,0.000869405,1.66184E-05,0.000256428,0.000186265,0.000678118,0.042495618,0.000927474,0.000312855,0.002984081,0.001210014,0.005201407,0.001330999,0.007339389,0.622750579,0.00412598,0.001968215,0.000777851,0.024562664,0.061061534,0.001165344,0.00860184,0.002885979,0.005032027,0.002656852,0.001919791,0.000283455,0.007168897,0.000652683,,0.037699078,0.002787627,0.002540329,0.00517511,0.032145709,0.000370646,0.001504494,0.005702469,0.00035471,0.001928889,0.005619951,0.043424113,0.128929342,0.134211911,0.001197862,0.000190847,0.000373997,0.002367025,0.205464756,0.005882315,0.004040312,0.179930837,0.000320509,0.005168499,0.146975938,0.00785892,0.015121106,,0.000459156,0.030812115,0.017417437,0.048697615,0.323518458,2.61904E-07,0.014794605,0.000734187,3.87573E-06,0.0464539,0.000285754,0.000249189,0.000454165,0.000188099,0.000272269,0.000401983,0.000558449,0.000146956,7.22163E-05,0.000104142,0.000118475,0.003523678,,0.002067012,0.001356044,0.000455576,2.74862E-05,0.000799802,0.001092841,0.003956961,0.005407521,0.000181703,0.001544295
HEB_01_003,0.000342662,0.001344451,0.000122203,0.000103748,0.025373848,0.009529963,0.000287087,0.000124549,0.000330292,0.000695336,8.59663E-05,0.001585946,0.000193451,0.001672325,8.12554E-05,0.000242592,2.41946E-06,0.000837,8.73101E-06,5.0586E-05,0.006169313,0.000907909,4.55791E-05,0.021401469,0.016716649,0.00128367,0.001310524,,0.000604561,0.000236674,,0.000958052,0.001149648,0.000588215,0.159176281,0.04417929,0.065383944,0.014110287,0.004139771,0.002162221,5.5853E-05,5.40847E-05,0.153821958,0.00386346,1.2517E-05,0.000864517,7.37965E-05,1.9157E-05,,0.13395245,0.003517586,0.000444702,5.28591E-05,1.41297E-05,0.044264321,,0.009287847,0.000137117,0.001975961,0.002531819,0.004928343,0.079867849,0.001118095,0.012814919,0.001036667,0.005122082,,0.036321116,0.002134084,7.49135E-06,,3.61465E-05,0.000316638,0.070603205,4.61254E-05,0.000238574,0.001953037,8.88475E-06,0.014110589,0.001951284,0.009678137,0.308678518,0.002271452,0.001208227,3.44065E-05,0.007333337,0.028868554,0.000557881,0.00485998,0.000997992,0.003662398,0.001044483,0.001581069,0.000125518,0.004717999,0.000225118,,,0.001904891,0.001511062,0.003042361,0.009655982,0.000150565,0.001046317,0.00246186,0.000186899,0.001218395,0.003542909,0.026429078,0.067759133,0.040329195,0.002318796,0.000379409,0.000231202,0.000874429,0.121912761,0.000856768,0.000495663,0.011826462,0.000115639,0.001982003,0.180208296,0.002907971,0.006395711,,0.000698357,0.016024002,0.008092732,0.033962412,0.307630754,2.18281E-06,0.01890031,0.000263802,1.56245E-06,0.086415244,0.000250945,0.000214049,0.000552954,0.000131412,0.000186818,0.000481132,0.00019634,0.000147482,7.82081E-05,0.000153896,0.000101884,0.000769392,,0.001255442,0.000679339,0.000312467,2.97498E-05,0.000789536,0.000702197,0.002596114,0.000508846,0.000177067,0.000874187
HEB_01_004,2.76578E-06,0.001222301,0.000108824,0.000240473,0.025074938,0.010663363,8.17158E-05,0.000962934,2.84931E-06,0.000226685,,0.0416664,0.015333584,0.00050581,8.94105E-06,0.00022818,3.26517E-06,0.000251862,2.61092E-05,7.72033E-06,0.001899145,0.001047659,1.749E-05,0.021403658,0.019659362,0.000163995,0.000469412,7.39094E-06,,1.09146E-05,,0.003886271,0.00196297,0.001452022,0.433066434,0.071875275,0.0422559,0.004800858,0.001446882,0.001383715,2.42488E-06,,0.180227752,0.001037645,0.000125501,0.000657408,0.000110868,2.52283E-05,2.9533E-06,0.153708303,0.001979972,0.000932105,2.3342E-05,7.37653E-06,0.018603704,,0.00160332,8.51326E-05,0.003255854,0.00360889,0.001948886,0.134616286,,0.013133721,0.000537608,0.004434162,1.68893E-05,0.025335368,0.000765594,2.89225E-06,1.00801E-05,6.14425E-06,0.00056149,0.215846547,0.000412602,0.00016508,0.000843251,3.20052E-05,0.008376439,0.00012307,0.007058639,1.98336118,0.003743478,0.001382586,4.28922E-05,0.000949298,0.045207249,0.000905176,0.008613538,0.000220542,0.001377118,0.000296714,0.000625955,4.57628E-05,0.002272646,9.47004E-05,0.000751575,0.160562717,0.002437833,0.006402163,0.011703256,0.221669168,0.000127359,0.000338038,0.000531353,8.49412E-05,0.000346894,0.000165681,0.001436615,0.003094239,0.004267356,0.000891156,0.000160317,7.74253E-05,6.33409E-05,0.005153958,0.000986771,0.259153841,0.304167147,0.010530328,0.004574143,0.675320309,,0.001170838,0.002117155,0.000588739,0.035960954,0.021799934,0.036832192,0.358500882,1.44987E-06,0.014662591,0.000161952,1.89131E-06,0.032840215,0.000237306,0.000319716,0.001367803,0.000282758,0.000156474,0.000196212,0.000210623,1.30535E-05,2.59278E-06,8.10648E-05,2.39953E-05,0.000256204,,0.001335762,,,0.000677388,0.000779,0.000174704,0.005019737,0.002513195,0.000106968,0.00030707
HEB_01_005,6.86908E-05,7.52787E-05,1.98969E-05,0.000152366,0.009360357,0.001728941,2.03741E-05,,0.000315635,0.000573539,1.6134E-05,0.006884337,0.00014643,0.000196876,0.000145398,0.000369168,9.18691E-06,,8.8386E-06,1.03589E-06,0.002788127,0.00047829,5.84751E-05,0.044877035,0.039868432,0.00037259,0.000950831,0.000620738,0.000417307,8.15542E-07,,0.00181887,0.000445047,,0.150946431,0.03104784,3.03968E-06,0.00491921,0.006400383,8.29729E-06,2.05839E-06,1.33608E-05,0.02774349,1.35835E-05,2.26223E-05,0.001104463,,1.53154E-05,2.17413E-05,0.128007183,0.000504046,0.001323565,7.92026E-06,2.20806E-05,0.007740308,5.55248E-05,0.005134611,8.93411E-07,0.00078082,0.001399714,0.002504675,0.018563969,7.65776E-06,0.011890469,0.000162737,0.003879271,2.91977E-05,0.001585538,4.32835E-06,4.13528E-06,3.79445E-06,0.000649417,1.298E-05,0.00312399,0.000284016,6.45402E-05,0.000840452,1.45203E-05,0.001180959,0.000172521,0.001497168,0.437233525,0.002030685,0.000320665,2.58168E-05,0.012774869,0.005575626,0.000197186,0.003853378,0.003111867,0.001471483,0.00098776,0.000285384,7.89238E-05,0.004681763,0.000325545,,0.035802244,0.00140063,0.00084157,0.000361718,0.014076707,1.48298E-05,6.27305E-05,0.001922464,7.59433E-06,0.000523529,0.000899902,0.007294695,0.015005375,0.009384706,0.000128045,1.74293E-05,0.000324853,0.001024247,0.033049591,0.001001377,0.000605627,0.004455731,3.61012E-05,0.000634033,0.003561967,0.013075755,0.013819791,0.000172597,0.000312855,0.001121467,0.000474285,0.0071713,0.005312027,5.84887E-08,0.005401639,0.000221388,1.02625E-06,0.020474499,7.90602E-05,0.000303699,0.000209635,,5.16444E-05,0.00011337,6.24273E-05,3.74175E-05,7.36884E-06,,1.35354E-05,0.000564384,,0.00134904,0.000994922,0.000204488,0.000676916,0.001204068,0.000662885,0.000381141,0.000360267,0.000165045,0.000586964
HEB_01_013,0.000304728,0.001224802,9.70479E-05,0.000263942,0.040753499,0.009343068,0.000145592,0.00019014,0.000167112,0.000664434,1.42555E-05,0.01531069,0.00023675,,0.000288296,0.000620294,,0.000228495,,1.72027E-06,0.003742096,0.000745331,7.99559E-05,0.01521241,0.011323198,0.000903506,0.000962339,,0.000735852,0.00012171,0.001429388,0.001763973,0.001358277,0.000995703,0.235991123,0.052766297,0.048123714,0.010979049,0.000768512,5.05558E-05,3.8565E-05,2.63738E-05,0.348198522,0.000990437,0.000180694,0.001016455,,0.000125767,,0.149254282,0.005364549,0.000125031,6.63429E-05,1.48698E-05,0.013618793,,0.004109208,8.00485E-07,0.002801603,0.001798567,0.003866651,0.146361071,0.000357733,0.026409675,0.000443763,0.004490239,,0.045783096,0.00136412,5.22316E-06,1.80358E-05,4.55027E-05,0.000113586,0.092815474,0.000694251,0.000273171,0.001213545,0.000171845,0.006121434,0.000418927,0.005284388,0.340350787,0.002010644,0.000617029,7.78833E-05,0.018318015,0.050089894,0.000620557,0.003838724,0.001199068,0.003370248,0.000483189,0.000857497,0.000137466,0.005484629,0.00017195,0.000825802,0.05937449,0.00187547,0.004295238,0.005666883,0.088534196,0.000144042,0.000618616,0.001026195,0.000174259,0.000567181,0.000598824,0.004685892,0.010774891,0.016077203,0.002331899,0.000389926,0.000138606,0.000473305,0.020609063,0.002013163,0.000438619,0.038066289,0.00092639,0.002708556,0.280984339,0.012367776,0.013771356,0.003266494,0.001556917,0.019861417,0.003203488,0.013884341,0.286551194,3.22423E-07,0.027899863,0.000155005,1.80614E-06,0.137647002,0.000157394,0.000137207,,0.000127992,0.000148,0.000181158,0.00015185,4.95581E-05,3.46315E-05,,5.18154E-05,0.00047841,,0.0016475,0.000704634,0.000511768,0.001086382,0.001208941,0.000579787,0.003997935,0.002304383,0.000180607,0.000661107
HEB_01_021,0.000307642,0.001527867,0.000200428,0.000162864,0.024010842,0.004793201,0.000187418,0.000604088,0.000109703,0.001581581,,0.00213727,0.000524065,0.000777799,0.000592764,0.00043669,,0.001338466,,2.17627E-06,0.00924069,0.001307101,,0.02590737,0.027239405,0.003048798,0.000909053,,0.000804897,0.00021224,0.000562335,0.004293819,0.001869158,0.001203134,0.921612667,0.202735422,0.009043511,0.003658506,0.002459643,0.000194009,0.000124935,,0.562349741,0.003989568,0.00066074,2.65168E-05,2.19765E-06,0.000438908,,0.208613862,0.004002251,,2.07137E-06,1.572E-06,0.031919511,,0.00322919,5.69251E-06,0.002680613,0.006345903,0.008446573,0.429115458,0.000221038,0.008186704,,0.007941294,,0.03022186,0.002158349,2.49748E-06,,,,0.171178979,0.000464529,0.000248999,3.88876E-05,0.000595112,0.01079765,0.001413522,0.004640065,0.884104509,0.00097399,0.002554206,0.000327141,0.005420227,,0.000755856,0.001984455,0.001440279,0.004977432,0.000137887,0.003384727,0.00010808,0.008809779,0.000123692,,0.147489927,0.001317508,0.01158837,0.008718245,0.216986166,0.000296412,0.000630848,0.000633614,0.000134088,0.000387285,0.000461375,0.003068348,0.007456249,0.014171749,,0.00073119,,0.000471212,0.015023146,0.001392321,0.001988944,0.19412485,0.000972718,0.001747124,0.492866804,0.004289189,0.004518311,0.001749289,0.000415401,0.032151704,0.00345387,0.009997908,0.019791518,,0.011535654,0.000110578,,0.088743003,0.000548182,0.000162999,0.001901712,0.000403799,0.000231293,0.001063776,0.00042655,0.000234871,2.39763E-05,0.0004032,7.58282E-05,0.000721301,,,0.000332734,,0.000297941,0.001343311,0.000383035,0.003064031,0.003054996,0.000395477,0.000980954
HEB_01_022,0.000786021,0.00251832,0.000179779,7.55311E-05,0.02551761,0.006473978,0.000273321,0.000214504,0.000473876,0.001369163,0.000169077,0.005865048,0.000361137,,8.38914E-05,0.014171487,7.42919E-06,0.000399359,,9.7379E-05,0.012258746,0.001203941,2.1192E-05,0.0257605,0.019344993,0.001831122,0.001883342,0.000122251,0.000732344,9.51758E-05,0.000620654,0.001956567,,0.000304276,0.488502924,0.113304615,,0.009891416,0.004319615,0.001244996,0.00014811,,0.261721928,0.001339163,0.000154819,0.007694356,8.50929E-05,0.000121813,4.53212E-06,0.173677058,0.006623467,0.000467899,6.36549E-05,0.000176409,0.019976979,0.00152903,0.010357875,0.000339564,0.003050045,0.003796432,0.008647572,0.166742584,0.00059931,0.004524366,0.001154181,0.005967423,,0.044827031,0.003509547,2.13734E-05,,1.51084E-05,,0.100019953,0.000481307,0.000232866,0.002336787,0.000137146,0.021024056,0.001424495,0.02278685,1.02905781,0.00274816,0.002311973,9.19563E-05,0.014685144,0.053826198,0.000332087,0.000164226,0.008340506,0.001345988,0.000842657,0.0020858,0.000190912,0.002803286,0.000403043,0.001600149,0.062775257,0.001319882,0.005372892,0.005653161,0.106882802,0.000336468,0.001292165,0.002253291,0.000264346,0.000983714,,0.00071062,0.001059344,0.022159829,0.004307807,0.000601716,0.000255404,0.000122474,0.001493588,0.001962765,0.000634251,0.02702147,0.001118137,0.001949916,0.184729674,0.007635735,0.008399522,0.001398478,0.000772281,0.030382173,0.003336104,0.012219222,0.093684689,1.10801E-05,0.01038943,0.000313485,1.0137E-05,0.075284524,0.000155857,5.24946E-05,0.00013751,0.000134946,0.000179846,0.000693549,0.000340898,1.21357E-05,0.00011023,6.92702E-05,0.000112646,0.000141375,,0.001191242,0.000442971,0.000405524,0.000912746,0.001315387,0.00066052,0.003626662,0.000711272,5.23677E-05,0.001217891
HEB_01_023,0.000534372,0.003413481,0.000191523,0.000409198,0.04744399,0.012710426,0.000148617,3.11838E-05,0.000213844,,0.000110372,0.025150893,0.007387907,0.001253649,7.89577E-05,,5.63178E-06,0.000447011,5.20189E-05,1.02886E-06,0.004368641,0.00089237,4.78071E-05,0.082994947,0.06513455,0.000562082,0.002204871,,,0.000552206,0.000725402,,0.003656082,0.00053705,0.417343509,0.085093661,0.12501261,0.015441083,0.003281944,0.000112744,,,0.271977586,0.000964997,0.000369406,0.001585399,4.30557E-07,0.000173687,1.52376E-06,0.44536184,0.003372109,0.002946704,3.10472E-06,,0.019201561,,0.007982017,5.00755E-06,0.002216785,0.00342373,0.003486725,0.179515058,0.000917048,0.010963529,0.002337388,0.00419783,,0.106320402,0.001145184,1.62499E-06,5.76268E-05,1.32729E-05,,0.148037307,0.002016995,0.000441647,0.002981126,0.000239194,0.016148058,0.001084161,,0.933873384,0.009894878,0.004508843,0.000123005,0.004090141,,0.000952553,0.020107841,0.001364431,0.00258774,0.001936874,0.001314696,0.00011186,0.004505493,0.000321437,,0.108481273,0.00212414,0.006184921,0.014854331,0.168757379,0.000533318,0.001583787,0.002988572,1.41353E-05,0.001366581,0.000628817,0.005908019,0.011220085,0.016582297,0.002644127,0.000376901,0.000157201,0.000460491,0.025866585,0.003648593,0.001305301,0.475707442,0.005721454,0.005770772,0.728562992,0.003529407,0.003336843,0.001683244,0.000412798,0.024982597,0.029184438,0.013693537,0.528140484,2.87282E-07,,0.002124041,,0.072051475,0.000209128,0.000276533,0.001010845,0.0001986,0.000959372,0.000595039,1.63691E-05,0.000352384,7.01488E-05,9.12757E-05,6.51453E-05,0.000961949,,,0.001808708,0.000471793,0.000344203,0.000390126,0.001358801,0.003605994,0.002081583,0.000198791,0.001399816
HEB_01_025,0.000537146,0.004365367,7.30549E-07,0.00025764,0.054417396,0.016469254,1.59021E-06,,0.000257389,0.00118291,,0.02943513,0.016098958,0.002025546,4.82323E-05,5.20305E-05,,0.001125078,,4.54302E-06,0.006022675,0.001086947,5.03804E-05,0.061786384,0.048416896,0.000295804,0.001404908,,0.001866155,0.000766874,0.000673203,0.003325116,0.003300081,0.00056852,0.469515162,0.102825379,0.177067795,0.022092607,0.00495031,,8.03726E-05,3.63321E-07,0.339830459,0.001666521,0.000156672,0.001295997,1.31928E-06,9.90688E-05,4.50047E-06,0.346878788,0.004069151,0.00185875,0.000137092,,0.029360326,,0.014521963,3.17661E-06,0.003248705,0.003456581,0.005410917,0.229935146,0.001111619,0.020515177,0.001548565,0.010910177,,0.066440807,0.001790322,,3.39576E-06,0.000144765,0.000251916,0.171963917,0.001838731,0.000760104,0.002724827,0.000558759,0.020184035,0.001253304,0.005189217,0.789549099,0.00932256,0.003880247,0.000207315,0.008304101,,0.001004647,0.019290755,0.00128931,0.00293351,0.002343008,0.002064087,0.000131514,0.007835959,0.000482536,,0.134492399,0.002509364,0.009632732,0.015036331,0.198145494,0.000571887,0.002200666,0.004957404,0.000442437,0.002015385,0.000700533,0.005844556,0.012708058,0.011310579,,0.000489053,0.000218258,0.00060965,0.026542172,0.00434718,0.003480513,0.411889866,0.005638938,0.006992744,0.692240724,0.004845982,0.005374747,0.001308857,0.000437003,0.017673491,0.0293509,0.050106573,0.701311623,1.09637E-07,,0.001127496,,0.120072674,0.000242601,0.00023066,0.001791847,0.000209988,0.001256299,0.000818217,0.001941994,1.06652E-05,0.000142638,0.000377715,0.000128576,0.000894133,,,0.001574542,8.75696E-05,0.000365107,0.000425726,0.001882526,0.005094198,0.002420327,0.000316622,0.001029522
HEB_01_030,0.000195736,0.000764101,0.000185931,0.000131294,0.021751343,0.006146465,0.000251962,0.000713992,0.000165363,0.001516367,5.77439E-05,0.011185483,0.004171043,0.001138804,0.000216742,0.003270855,,0.000305579,1.70844E-05,0.000100381,0.00812518,0.001257083,7.69063E-05,0.107978133,0.074182778,0.000495764,0.00239531,,0.000659751,8.02566E-05,0.000371929,0.003315152,0.001469526,0.002458444,0.259631359,0.086022163,0.060376314,0.016465351,0.001413826,0.001281437,7.97056E-05,1.07474E-06,0.144290451,0.001527611,3.46384E-05,0.00149208,9.20239E-05,4.0596E-05,,0.21397087,0.00502921,0.002818376,9.46183E-05,1.29984E-05,0.02957085,,0.010257146,0.000151937,0.002087295,0.003545715,0.006584434,0.08779331,0.000506269,0.008654748,0.001303013,0.005207275,,0.025965879,0.000720783,1.77627E-05,8.98412E-07,0.000125126,0.000373219,0.016455712,0.002968204,0.000305281,0.002350226,6.07307E-06,0.005281906,0.002594242,0.007082441,0.35033912,0.003323425,0.001143602,3.55338E-05,0.00359964,0.031109094,0.000345514,0.007213986,0.002416074,0.003175311,0.002282977,0.00093211,0.00018667,0.0058321,0.000471578,,0.071426038,0.001722786,0.004727935,0.004672056,0.106560019,0.000160625,0.000885024,0.003861582,0.000115144,0.002059407,0.000642149,0.006425608,0.013914341,0.012976658,0.001356498,0.000238398,0.000462231,0.000260233,0.023896952,0.003177181,8.51788E-05,0.007037505,8.80422E-05,0.002367367,0.07686549,0.00170556,0.003059989,,0.000623669,0.007108175,0.004873126,0.036812533,0.119392865,7.18631E-07,0.006574456,0.000850278,,0.048877033,0.00023868,0.000232759,0.000744752,0.000117976,0.000182157,0.000764552,9.81872E-05,0.000172826,5.36162E-05,6.63787E-05,8.48067E-05,0.000180878,,0.001162391,0.000741195,0.000442395,7.68998E-05,0.000485001,0.001763737,0.003701525,0.001969423,0.000181278,0.001326101
